date,category,value
2015-12-01,United States,25.6
2016-01-01,United States,25.7589473684211
2016-02-01,United States,25.4775
2016-03-01,United States,26.3231818181818
2016-04-01,United States,27.892380952381
2016-05-01,United States,27.2633333333333
2016-06-01,United States,27.6104545454545
2016-07-01,United States,28.1465
2016-08-01,United States,28.6086956521739
2016-09-01,United States,27.9528571428571
2016-10-01,United States,28.5376190476191
2016-11-01,United States,28.7590476190476
2016-12-01,United States,29.2485714285714
2017-01-01,United States,29.4435
2017-02-01,United States,30.5431578947368
2017-03-01,United States,29.9517391304348
2017-04-01,United States,28.7015789473684
2017-05-01,United States,28.4204545454545
2017-06-01,United States,27.8090909090909
2017-07-01,United States,26.731
2017-08-01,United States,25.0726086956522
2017-09-01,United States,26.9495
2017-10-01,United States,27.0859090909091
2017-11-01,United States,27.2861904761905
2017-12-01,United States,26.903
2018-01-01,United States,26.5866666666667
2018-02-01,United States,25.6684210526316
2018-03-01,United States,24.7276190476191
2018-04-01,United States,24.8128571428571
2018-05-01,United States,24.595
2018-06-01,United States,25.6190476190476
2018-07-01,United States,25.5442857142857
2018-08-01,United States,25.6586956521739
2018-09-01,United States,25.3968421052632
2018-10-01,United States,25.2008695652174
2018-11-01,United States,25.0419047619048
2018-12-01,United States,25.2265
2019-01-01,United States,25.5652380952381
2019-02-01,United States,25.7663157894737
2019-03-01,United States,26.2271428571429
2019-04-01,United States,26.8690476190476
2019-05-01,United States,26.3609090909091
2019-06-01,United States,26.365
2019-07-01,United States,25.6581818181818
2019-08-01,United States,25.7904545454545
2019-09-01,United States,25.637
2019-10-01,United States,26.0278260869565
2019-11-01,United States,27.244
2019-12-01,United States,25.91
2020-01-01,United States,25.8980952380952
2020-02-01,United States,26.5978947368421
2020-03-01,United States,27.0945454545455
2020-04-01,United States,26.0661904761905
2020-05-01,United States,25.851
2020-06-01,United States,25.9795454545454
2020-07-01,United States,26.6181818181818
2020-08-01,United States,27.4352380952381
2020-09-01,United States,26.8461904761905
2020-10-01,United States,27.3886363636364
2020-11-01,United States,29.3285
2020-12-01,United States,28.3636363636364
2021-01-01,United States,28.7894736842105
2021-02-01,United States,29.6231578947368
2021-03-01,United States,30.4778260869565
2021-04-01,United States,31.2933333333333
2021-05-01,United States,32.4166666666667
2021-06-01,United States,33.0468181818182
2021-07-01,United States,36.14
1980-01-01,Global,
1980-02-01,Global,
1980-03-01,Global,
1980-04-01,Global,
1980-05-01,Global,
1980-06-01,Global,
1980-07-01,Global,
1980-08-01,Global,
1980-09-01,Global,
1980-10-01,Global,
1980-11-01,Global,
1980-12-01,Global,
1981-01-01,Global,
1981-02-01,Global,
1981-03-01,Global,
1981-04-01,Global,
1981-05-01,Global,
1981-06-01,Global,
1981-07-01,Global,
1981-08-01,Global,
1981-09-01,Global,
1981-10-01,Global,
1981-11-01,Global,
1981-12-01,Global,
1982-01-01,Global,
1982-02-01,Global,
1982-03-01,Global,
1982-04-01,Global,
1982-05-01,Global,
1982-06-01,Global,
1982-07-01,Global,
1982-08-01,Global,
1982-09-01,Global,
1982-10-01,Global,
1982-11-01,Global,
1982-12-01,Global,
1983-01-01,Global,
1983-02-01,Global,
1983-03-01,Global,
1983-04-01,Global,
1983-05-01,Global,
1983-06-01,Global,
1983-07-01,Global,
1983-08-01,Global,
1983-09-01,Global,
1983-10-01,Global,
1983-11-01,Global,
1983-12-01,Global,
1984-01-01,Global,
1984-02-01,Global,
1984-03-01,Global,
1984-04-01,Global,
1984-05-01,Global,
1984-06-01,Global,
1984-07-01,Global,
1984-08-01,Global,
1984-09-01,Global,
1984-10-01,Global,
1984-11-01,Global,
1984-12-01,Global,
1985-01-01,Global,
1985-02-01,Global,
1985-03-01,Global,
1985-04-01,Global,
1985-05-01,Global,
1985-06-01,Global,
1985-07-01,Global,
1985-08-01,Global,
1985-09-01,Global,
1985-10-01,Global,
1985-11-01,Global,
1985-12-01,Global,
1986-01-01,Global,
1986-02-01,Global,
1986-03-01,Global,
1986-04-01,Global,
1986-05-01,Global,
1986-06-01,Global,
1986-07-01,Global,
1986-08-01,Global,
1986-09-01,Global,
1986-10-01,Global,
1986-11-01,Global,
1986-12-01,Global,
1987-01-01,Global,
1987-02-01,Global,
1987-03-01,Global,
1987-04-01,Global,
1987-05-01,Global,
1987-06-01,Global,
1987-07-01,Global,
1987-08-01,Global,
1987-09-01,Global,
1987-10-01,Global,
1987-11-01,Global,
1987-12-01,Global,
1988-01-01,Global,
1988-02-01,Global,
1988-03-01,Global,
1988-04-01,Global,
